"Any";"Mes";"Codi_Districte";"Nom_Districte";"Codi_Barri";"Nom_Barri";"Sexe";"Demanda_ocupacio";"Nombre"
2022;1;9;"Sant Andreu";58;"BarÃ³ de Viver";"Dones";"Atur Registrat";62
2022;1;9;"Sant Andreu";59;"el Bon Pastor";"Dones";"Atur Registrat";354
2022;1;9;"Sant Andreu";60;"Sant Andreu";"Dones";"Atur Registrat";1432
2022;1;9;"Sant Andreu";61;"la Sagrera";"Dones";"Atur Registrat";617
2022;1;9;"Sant Andreu";62;"el CongrÃ©s i els Indians";"Dones";"Atur Registrat";301
2022;1;9;"Sant Andreu";63;"Navas";"Dones";"Atur Registrat";465
2022;1;10;"Sant MartÃ­";64;"el Camp de l'Arpa del Clot";"Dones";"Atur Registrat";881
2022;1;10;"Sant MartÃ­";65;"el Clot";"Dones";"Atur Registrat";621
2022;1;10;"Sant MartÃ­";66;"el Parc i la Llacuna del Poblenou";"Dones";"Atur Registrat";306
2022;1;10;"Sant MartÃ­";67;"la Vila OlÃ­mpica del Poblenou";"Dones";"Atur Registrat";192
2022;1;10;"Sant MartÃ­";68;"el Poblenou";"Dones";"Atur Registrat";667
2022;1;10;"Sant MartÃ­";69;"Diagonal Mar i el Front MarÃ­tim del Poblenou";"Dones";"Atur Registrat";339
2022;1;10;"Sant MartÃ­";70;"el BesÃ²s i el Maresme";"Dones";"Atur Registrat";777
2022;1;10;"Sant MartÃ­";71;"ProvenÃ§als del Poblenou";"Dones";"Atur Registrat";500
2022;1;10;"Sant MartÃ­";72;"Sant MartÃ­ de ProvenÃ§als";"Dones";"Atur Registrat";681
2022;1;10;"Sant MartÃ­";73;"la Verneda i la Pau";"Dones";"Atur Registrat";769
2022;1;99;"No consta";99;"No consta";"Dones";"Atur Registrat";41
2022;1;1;"Ciutat Vella";1;"el Raval";"Dones";"Demanda No Aturats";477
2022;1;1;"Ciutat Vella";2;"el Barri GÃ²tic";"Dones";"Demanda No Aturats";122
2022;1;1;"Ciutat Vella";3;"la Barceloneta";"Dones";"Demanda No Aturats";130
2022;1;1;"Ciutat Vella";4;"Sant Pere, Santa Caterina i la Ribera";"Dones";"Demanda No Aturats";183
2022;1;2;"Eixample";5;"el Fort Pienc";"Dones";"Demanda No Aturats";205
2022;1;2;"Eixample";6;"la Sagrada FamÃ­lia";"Dones";"Demanda No Aturats";339
2022;1;2;"Eixample";7;"la Dreta de l'Eixample";"Dones";"Demanda No Aturats";233
2022;1;2;"Eixample";8;"l'Antiga Esquerra de l'Eixample";"Dones";"Demanda No Aturats";225
2022;1;2;"Eixample";9;"la Nova Esquerra de l'Eixample";"Dones";"Demanda No Aturats";361
